Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-9.351115, 2020-2039, cesm1_cam5, Oct Anomaly, Bulgaria, BGR
-6.7511334, 2020-2039, cesm1_cam5, Nov Anomaly, Bulgaria, BGR
9.435378, 2020-2039, cesm1_cam5, Dec Anomaly, Bulgaria, BGR
-6.490428, 2020-2039, csiro_mk3_6_0, Jan Anomaly, Bulgaria, BGR
-5.978418, 2020-2039, csiro_mk3_6_0, Feb Anomaly, Bulgaria, BGR
4.10252, 2020-2039, csiro_mk3_6_0, Mar Anomaly, Bulgaria, BGR
-3.6634982, 2020-2039, csiro_mk3_6_0, Apr Anomaly, Bulgaria, BGR
-1.2758995, 2020-2039, csiro_mk3_6_0, May Anomaly, Bulgaria, BGR
-4.097104, 2020-2039, csiro_mk3_6_0, Jun Anomaly, Bulgaria, BGR
-6.6075363, 2020-2039, csiro_mk3_6_0, Jul Anomaly, Bulgaria, BGR
-3.383074, 2020-2039, csiro_mk3_6_0, Aug Anomaly, Bulgaria, BGR
-8.644203, 2020-2039, csiro_mk3_6_0, Sep Anomaly, Bulgaria, BGR
-24.80991, 2020-2039, csiro_mk3_6_0, Oct Anomaly, Bulgaria, BGR
-0.30390215, 2020-2039, csiro_mk3_6_0, Nov Anomaly, Bulgaria, BGR
-17.283691, 2020-2039, csiro_mk3_6_0, Dec Anomaly, Bulgaria, BGR
-18.629461, 2020-2039, fio_esm, Jan Anomaly, Bulgaria, BGR
-5.7621894, 2020-2039, fio_esm, Feb Anomaly, Bulgaria, BGR
2.581464, 2020-2039, fio_esm, Mar Anomaly, Bulgaria, BGR
-3.8926308, 2020-2039, fio_esm, Apr Anomaly, Bulgaria, BGR
-15.143485, 2020-2039, fio_esm, May Anomaly, Bulgaria, BGR
1.8510685, 2020-2039, fio_esm, Jun Anomaly, Bulgaria, BGR
3.066889, 2020-2039, fio_esm, Jul Anomaly, Bulgaria, BGR
0.6382481, 2020-2039, fio_esm, Aug Anomaly, Bulgaria, BGR
-5.3202696, 2020-2039, fio_esm, Sep Anomaly, Bulgaria, BGR
-20.525328, 2020-2039, fio_esm, Oct Anomaly, Bulgaria, BGR
10.431504, 2020-2039, fio_esm, Nov Anomaly, Bulgaria, BGR
16.616114, 2020-2039, fio_esm, Dec Anomaly, Bulgaria, BGR
-5.6942396, 2020-2039, gfdl_cm3, Jan Anomaly, Bulgaria, BGR
-4.63826, 2020-2039, gfdl_cm3, Feb Anomaly, Bulgaria, BGR
-6.2323756, 2020-2039, gfdl_cm3, Mar Anomaly, Bulgaria, BGR
9.069501, 2020-2039, gfdl_cm3, Apr Anomaly, Bulgaria, BGR
4.5565033, 2020-2039, gfdl_cm3, May Anomaly, Bulgaria, BGR
-4.84334, 2020-2039, gfdl_cm3, Jun Anomaly, Bulgaria, BGR
10.364589, 2020-2039, gfdl_cm3, Jul Anomaly, Bulgaria, BGR
3.6906908, 2020-2039, gfdl_cm3, Aug Anomaly, Bulgaria, BGR
-7.0429225, 2020-2039, gfdl_cm3, Sep Anomaly, Bulgaria, BGR
-22.340164, 2020-2039, gfdl_cm3, Oct Anomaly, Bulgaria, BGR
-19.353045, 2020-2039, gfdl_cm3, Nov Anomaly, Bulgaria, BGR
-8.663421, 2020-2039, gfdl_cm3, Dec Anomaly, Bulgaria, BGR
-11.483964, 2020-2039, gfdl_esm2m, Jan Anomaly, Bulgaria, BGR
